Súhrnné vısledky hlasovania za obce;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Kód kraja;Názov kraja;Kód územného obvodu;Názov územného obvodu;Kód okresu;Názov okresu;Kód obce;Názov obce;Poèet okrskov ;Poèet zapísanıch volièov;Poèet vydanıch obálok;"Úèas volièov 
v %";Poèet odovzdanıch obálok;Podiel odovzdanıch obálok v %;Poèet platnıch hlasov všetkıch kandidátov; Podiel platnıch hlasov všetkıch kandidátov v %;Poèet zapísanıch volièov 2.kolo;Poèet vydanıch obálok 2.kolo;"Úèas volièov 
v %  2.kolo";Poèet odovzdanıch obálok 2.kolo;Podiel odovzdanıch obálok v % 2.kolo;Poèet platnıch hlasov všetkıch kandidátov 2.kolo; Podiel platnıch hlasov všetkıch kandidátov v % 2.kolo
;;;;;;;;;;;;;;;;;;;;;;
1;Bratislavskı kraj;101;Bratislava;101;Bratislava I;528595;Bratislava - Staré Mesto;34;39187;24952;63,67;24931;99,91;24836;99,61;39060;24191;61,93;24183;99,96;23847;98,61
1;Bratislavskı kraj;101;Bratislava;102;Bratislava II;529311;Bratislava - Podunajské Biskupice;20;20042;10378;51,78;10375;99,97;10271;98,99;19882;9442;47,49;9429;99,86;9314;98,78
1;Bratislavskı kraj;101;Bratislava;102;Bratislava II;529320;Bratislava - Ruinov;70;66641;40628;60,96;40605;99,94;40452;99,62;66102;38489;58,22;38479;99,97;37929;98,57
1;Bratislavskı kraj;101;Bratislava;102;Bratislava II;529338;Bratislava - Vrakuòa;19;17536;8954;51,06;8953;99,98;8916;99,58;17351;8144;46,93;8143;99,98;8015;98,42
1;Bratislavskı kraj;101;Bratislava;103;Bratislava III;529346;Bratislava - Nové Mesto;45;35131;21726;61,84;21719;99,96;21629;99,58;34914;20758;59,45;20750;99,96;20443;98,52
1;Bratislavskı kraj;101;Bratislava;103;Bratislava III;529354;Bratislava - Raèa;18;19953;11768;58,97;11759;99,92;11710;99,58;19908;11173;56,12;11171;99,98;11008;98,54
1;Bratislavskı kraj;101;Bratislava;103;Bratislava III;529362;Bratislava - Vajnory;5;4649;2877;61,88;2877;100;2863;99,51;4641;2678;57,7;2678;100;2642;98,65
1;Bratislavskı kraj;101;Bratislava;104;Bratislava IV;529401;Bratislava - Devín;2;1405;957;68,11;956;99,89;952;99,58;1429;902;63,12;902;100;877;97,22
1;Bratislavskı kraj;101;Bratislava;104;Bratislava IV;529371;Bratislava - Devínska Nová Ves;14;14162;8244;58,21;8236;99,9;8205;99,62;14090;7509;53,29;7507;99,97;7382;98,33
1;Bratislavskı kraj;101;Bratislava;104;Bratislava IV;529389;Bratislava - Dúbravka;31;31278;17572;56,18;17567;99,97;17491;99,56;31022;16404;52,87;16400;99,97;16151;98,48
1;Bratislavskı kraj;101;Bratislava;104;Bratislava IV;529397;Bratislava - Karlova Ves;30;30273;18848;62,26;18836;99,93;18769;99,64;29833;17662;59,2;17661;99,99;17412;98,59
1;Bratislavskı kraj;101;Bratislava;104;Bratislava IV;529419;Bratislava - Lamaè;6;6198;4078;65,79;4078;100;4065;99,68;6145;3781;61,52;3781;100;3703;97,93
