Súhrnné vısledky hlasovania za okresy;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Kód kraja;Názov kraja;Kód územného obvodu;Názov územného obvodu;Kód okresu;Názov okresu;Poèet okrskov;Poèet zapísanıch volièov;Poèet vydanıch obálok;Úèas volièov v %;Poèet odovzdanıch obálok; Podiel odovzdanıch obálok v %;Poèet platnıch hlasov všetkıch kandidátov; Podiel platnıch hlasov všetkıch kandidátov v %;Poèet zapísanıch volièov 2.kolo;Poèet vydanıch obálok 2.kolo;Úèas volièov v %;Poèet odovzdanıch obálok 2.kolo; Podiel odovzdanıch obálok v % 2.kolo;Poèet platnıch hlasov všetkıch kandidátov 2.kolo; Podiel platnıch hlasov všetkıch kandidátov v %  2.kolo
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;Bratislavskı kraj;101;Bratislava;101;Bratislava I;34;39187;24952;63,67;24931;99,91;24836;99,61;39060;24191;61,93;24183;99,96;23847;98,61
1;Bratislavskı kraj;101;Bratislava;102;Bratislava II;109;104219;59960;57,53;59933;99,95;59639;99,5;103335;56075;54,26;56051;99,95;55258;98,58
1;Bratislavskı kraj;101;Bratislava;103;Bratislava III;68;59733;36371;60,88;36355;99,95;36202;99,57;59463;34609;58,2;34599;99,97;34093;98,53
1;Bratislavskı kraj;101;Bratislava;104;Bratislava IV;87;87654;52700;60,12;52672;99,94;52469;99,61;86877;49092;56,5;49085;99,98;48325;98,45
1;Bratislavskı kraj;101;Bratislava;105;Bratislava V;63;100898;58381;57,86;58343;99,93;58147;99,66;100942;54533;54,02;54505;99,94;53737;98,59
1;Bratislavskı kraj;102;Malacky;106;Malacky;54;61170;31588;51,63;31582;99,98;31425;99,5;61406;27722;45,14;27718;99,98;27247;98,3
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;53;54304;33651;61,96;33643;99,97;33508;99,59;54152;30243;55,84;30232;99,96;29770;98,47
1;Bratislavskı kraj;104;Senec;108;Senec;68;68813;41533;60,35;41520;99,96;41332;99,54;69056;37470;54,26;37463;99,98;36841;98,33
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;123;101705;34665;34,08;34651;99,95;34356;99,14;101890;31137;30,55;31125;99,96;30749;98,79
2;Trnavskı kraj;202;Galanta;202;Galanta;84;78715;34512;43,84;34498;99,95;34270;99,33;78671;29285;37,22;29282;99,98;28840;98,49
2;Trnavskı kraj;203;Piešany;204;Piešany;63;53072;28397;53,5;28384;99,95;28240;99,49;52949;24575;46,41;24570;99,97;24071;97,96
2;Trnavskı kraj;204;Senica;205;Senica;51;50209;24936;49,66;24936;100;24784;99,39;50550;21842;43,2;21839;99,98;21473;98,32
2;Trnavskı kraj;204;Senica;206;Skalica;44;39012;19943;51,12;19928;99,92;19817;99,44;39187;17072;43,56;17072;100;16769;98,22
2;Trnavskı kraj;205;Trnava;203;Hlohovec;45;36908;19054;51,62;19044;99,94;18916;99,32;36809;15838;43,02;15836;99,98;15550;98,19
